date,funding_rate,predicted_funding_rate,open_interest,last_price,index_price,mark_price,amount_buy,amount_sell,symbol,open,high,low,close,volume,turnover
1642036800,-0.000223,-0.000110786089239,898373954.715223,43747.5367454068,43767.8396194226,43759.7587270341,10758,737374,BTCUSD,43754.5,43754.5,43709.5,43709.5,881213,20.15026606
1642037100,-0.000223,-0.000102359053498,897445673.54321,43696.8595679012,43712.8932304527,43705.3952057613,761475,5313339,BTCUSD,43709.5,43710,43610,43621,7506954,171.95414833
1642037400,-0.000223,-8.9472481827622E-05,894198079.600208,43634.9236760125,43648.9478193146,43640.9324299065,1280858,2173784,BTCUSD,43621,43644.5,43543.5,43577.5,9645483,221.31916907
1642037700,-0.000223,-7.78976608187135E-05,890311389.941521,43591.7032163743,43613.4887037037,43605.890048733,2493521,7546175,BTCUSD,43577.5,43593,43559.5,43580,2851233,65.4325809
1642038000,-0.000223,-7.30236305048335E-05,889065851.387755,43574.261546724,43595.5837808808,43587.8926315789,564329,993093,BTCUSD,43580,43580.5,43555,43555.5,1967209,45.15084815
1642038300,-0.000223,-6.25429262394196E-05,888589514.74607,43558.7194679565,43566.0122370012,43558.5183675937,231232,1915480,BTCUSD,43555.5,43567.5,43550,43567.5,1664482,38.21753896
1642038600,-0.000223,-5.21376720901126E-05,888318381.052566,43575.3923654568,43598.1249561953,43590.5417521902,2537732,114546,BTCUSD,43567.5,43603.5,43560,43560.5,2569692,58.95837418
1642038900,-0.000223,-4.29243027888446E-05,888392338.442231,43586.4375830013,43595.1683399734,43587.8670385126,647406,704847,BTCUSD,43560.5,43584.5,43540,43543.5,1924305,44.17740702
1642039200,-0.000223,-2.81430412371134E-05,888437196.166237,43566.3163659794,43577.233556701,43569.9859407217,949197,1612081,BTCUSD,43543.5,43586,43543.5,43570,5182341,118.94153108
1642039500,-0.000223,-1.67635135135135E-05,886762484.952703,43575.0608108108,43589.9556351351,43582.7969594595,503623,3531897,BTCUSD,43570,43580,43565,43565,420338,9.64671625
1642039800,-0.000223,-1.31233211233211E-05,886359650.017094,43577.2344322344,43594.8084615385,43587.6989133089,851405,239656,BTCUSD,43565,43611,43565,43611,2176893,49.93539416
1642040100,-0.000223,-1.31301369863014E-05,885720049.408219,43610.5,43641.523630137,43634.4723150685,1480924,246566,BTCUSD,43611,43629,43610.5,43628.5,654389,15.00247936
1642040400,-0.000223,-1.67719298245614E-05,885757479.290271,43627.7328548644,43653.1102073365,43646.2807974482,290050,160433,BTCUSD,43628.5,43629,43628.5,43628.5,270578,6.20182016
1642040700,-0.000223,-1.6064139941691E-05,885867996.202624,43628.8731778426,43653.6059475219,43646.759212828,98609,28371,BTCUSD,43628.5,43629,43628.5,43629,221302,5.07237262
1642041000,-0.000223,-2.11590909090909E-05,886086549.415152,43628.9537878788,43664.0759090909,43657.3238181818,189886,52498,BTCUSD,43629,43634.5,43628.5,43634.5,1349192,30.92411969
1642041300,-0.000223,-3.64156545209177E-05,887536073.31309,43642.7064777328,43684.4041565452,43677.8561403509,1746021,88593,BTCUSD,43634.5,43659,43634,43658,883091,20.23101975
1642041600,-0.000223,-4.21263157894737E-05,888178416.702256,43657.9195488722,43686.6863308271,43680.158556391,326320,123294,BTCUSD,43658,43658,43657.5,43658,457624,10.48209939
1642041900,-0.000223,-4.33611111111111E-05,888137481.761111,43653.1256944445,43668.7128611111,43662.3704444444,40550,989772,BTCUSD,43658,43658,43598,43598.5,1808922,41.46145332
1642042200,-0.000223,-3.51920438957476E-05,888111272.277092,43602.438957476,43605.6754595336,43599.6022085048,251218,1246479,BTCUSD,43598.5,43598.5,43549,43562,1752303,40.21522857
1642042500,-0.000223,-2.45547337278107E-05,887502095.106509,43569.2174556213,43579.0294970414,43572.90647929,1518850,1066648,BTCUSD,43562,43632,43561.5,43596.5,3486639,79.98128346
1642042800,-0.000223,-1.84658925979681E-05,887060182.599419,43593.4433962264,43611.2159796807,43604.9118432511,901641,1611632,BTCUSD,43596.5,43630,43578,43625.5,1390997,31.90230535
1642043100,-0.000223,-1.54598290598291E-05,887610945.755556,43609.3598290598,43621.9768717949,43616.1394700855,1102509,195370,BTCUSD,43625.5,43625.5,43523,43529.5,1302160,29.89732881
1642043400,-0.000223,-9.57744874715262E-06,886849055.888383,43521.3849658314,43538.2257061503,43532.7413781321,752216,5383817,BTCUSD,43529.5,43530,43440,43450.5,6224438,143.15117801
1642043700,-0.000223,-8.43302540415704E-06,886372787.622402,43460.1963048499,43477.693221709,43471.9187066975,1080790,1190333,BTCUSD,43450.5,43471.5,43450.5,43469,1463812,33.68115063
1642044000,-0.000223,-5.23067331670823E-06,886489392.891521,43463.9837905237,43481.7408104738,43476.0426433915,554949,449794,BTCUSD,43469,43490,43460,43476.5,2215696,50.96112365
1642044300,-0.000223,-2.9887323943662E-06,885471493.929578,43475.8992957747,43493.6347042254,43488.1384647887,1767859,346194,BTCUSD,43476.5,43477,43458,43458.5,638788,14.69406959
1642044600,-0.000223,9.85411140583554E-07,885700553.954907,43473.1114058356,43486.2864986737,43480.6397082228,507341,1252066,BTCUSD,43458.5,43518.5,43454,43518.5,2979338,68.49677968
1642044900,-0.000223,2.18086696562033E-06,885684864.245142,43509.0754857997,43534.608161435,43529.2062630792,1512420,92417,BTCUSD,43518.5,43524,43518,43522,545385,12.53108639
1642045200,-0.000223,1.6832E-06,885652032.9072,43522.7208,43539.83064,43534.61736,199235,626101,BTCUSD,43522,43524,43521.5,43524,981952,22.56217767
1642045500,-0.000223,2.65563909774436E-06,885920008.646617,43527.7210526316,43561.1321804511,43555.8660451128,1838415,19296,BTCUSD,43524,43538,43523.5,43537.5,1675630,38.48820179
1642045800,-0.000223,-1.91836734693878E-06,886116073.430427,43535.9888682746,43564.8797402597,43559.9195918367,300680,822087,BTCUSD,43537.5,43538,43529,43529.5,987503,22.68398655
1642046100,-0.000223,-3.90609555189456E-06,885986132.156507,43527.4538714992,43550.4978583196,43545.6721911038,47340,464932,BTCUSD,43529.5,43529.5,43505,43505.5,644149,14.80230708
1642046400,-0.000223,-3.67674113009198E-06,886131253.057819,43517.4375821288,43544.0848094612,43539.0866491459,1503934,1736798,BTCUSD,43505.5,43564,43505,43563.5,4414545,101.3840683
1642046700,-0.000223,-7.5014450867052E-06,887777971.052023,43558.0223988439,43590.9311705202,43586.1130202312,1806557,202122,BTCUSD,43563.5,43599.5,43563.5,43599.5,1361460,31.24074224
1642047000,-0.000223,-1.12674418604651E-05,888152657.52584,43593.3979328165,43627.594379845,43622.6884496124,1843782,218320,BTCUSD,43599.5,43607,43599,43606.5,1844600,42.30719244
1642047300,-0.000223,-1.48070422535211E-05,889452283.240845,43614.1,43644.879084507,43640.2569859155,1538543,127512,BTCUSD,43606.5,43650,43606.5,43650,1693978,38.82126559
1642047600,-0.000223,-1.82067307692308E-05,889707142.50641,43649.6177884615,43681.5783012821,43677.1076442308,833841,232165,BTCUSD,43650,43650.5,43649.5,43650.5,659647,15.11214212
1642047900,-0.000223,-2.2256993006993E-05,889682197.643357,43650.3190559441,43676.6400524476,43672.3193006993,237687,273268,BTCUSD,43650.5,43730,43650,43664.5,4572458,104.69336481
1642048200,-0.000223,-2.0629476584022E-05,887495947.362259,43662.4827823691,43671.4540909091,43667.1089256198,2880064,2360422,BTCUSD,43664.5,43665,43664.5,43664.5,1514316,34.68068653
1642048500,-0.000223,-1.38770226537217E-05,886439881.043689,43664.682038835,43670.3948058252,43666.1687378641,40759,542570,BTCUSD,43664.5,43705,43664.5,43705,734127,16.8042222
1642048800,-0.000223,-1.03794642857143E-05,886204316.666667,43693.7462797619,43710.6149553572,43706.4885267857,1214056,62628,BTCUSD,43705,43705,43704.5,43705,928465,21.24397424
1642049100,-0.000223,-7.25323475046211E-06,886013712.537893,43704.6608133087,43718.6146950092,43714.6444916821,195806,313780,BTCUSD,43705,43705,43651.5,43651.5,1274942,29.18798816
1642049400,-0.000223,-2.94645247657296E-06,885554281.131191,43656.8058902276,43662.8872423025,43659.4891298527,171424,2272590,BTCUSD,43651.5,43652,43619,43620,1541966,35.33952707
1642049700,-0.000223,3.37142857142857E-07,885413261.672381,43624.7,43649.1695619048,43645.2797714286,711776,132742,BTCUSD,43620,43633.5,43619.5,43633.5,704098,16.13792984
1642050000,-0.000223,1E-06,885824422.195426,43629.7515592516,43654.2118711019,43650.6362785863,252222,506152,BTCUSD,43633.5,43637.5,43624,43637.5,2367526,54.25882265
1642050300,-0.000223,-2.09550561797753E-06,886861496.338483,43631.3174157303,43659.0179213483,43655.5379634831,1253979,774966,BTCUSD,43637.5,43637.5,43619.5,43625,508866,11.66447289
1642050600,-0.000223,-2.01724137931034E-06,887808631.497127,43621.5962643678,43639.1348275862,43635.7555316092,152925,1961433,BTCUSD,43625,43625,43587,43588,3086286,70.76842066
1642050900,-0.000223,-1E-06,889191556.610938,43591.75703125,43614.366359375,43610.97546875,340917,1620938,BTCUSD,43588,43611,43587.5,43611,2745342,62.98101971
1642051200,-0.000223,-1.89799072642968E-06,888511443.012365,43598.0255023184,43622.0146058733,43618.7700463679,1138120,1137765,BTCUSD,43611,43611,43600,43603.5,1313658,30.12869792
1642051500,-0.000223,-4.4190031152648E-06,888467554.823987,43611.9813084112,43647.5714953271,43644.2865732087,1174343,24294,BTCUSD,43603.5,43676.5,43603.5,43676.5,1795051,41.12557985
1642051800,-0.000223,-8.01152368758003E-06,889011978.647887,43689.5294494238,43720.9258898848,43717.7488604353,4700166,1399052,BTCUSD,43676.5,43774,43668,43668,5483839,125.41553314
1642052100,-0.000223,-8.60461285008237E-06,890378883.871499,43680.284184514,43699.11,43696.1634596376,111528,968685,BTCUSD,43668,43678,43666.5,43677.5,352652,8.07434689
1642052400,-0.000223,-9.55208333333333E-06,890254259.414931,43676.6302083333,43704.18203125,43701.3519270833,279229,393454,BTCUSD,43677.5,43678,43650,43650.5,711517,16.29262272
1642052700,-0.000223,-1.04307692307692E-05,890084224.923077,43653.8188034188,43678.2551623932,43675.4605470086,13210,322889,BTCUSD,43650.5,43670,43650,43670,833686,19.09386756
1642053000,-0.000223,-1.20701754385965E-05,890427604.180702,43669.1894736842,43703.6105263158,43700.9352105263,834293,15200,BTCUSD,43670,43704,43669.5,43703.5,1168123,26.73306926
1642053300,-0.000223,-1.59571663920923E-05,890567934.097199,43694.1532125206,43726.9316144975,43724.4372652389,1321618,381154,BTCUSD,43703.5,43704,43675,43675,1518479,34.75309493
1642053600,-0.000223,-1.71140186915888E-05,891013159.140187,43670.5214953271,43701.2532897196,43699.0308224299,200839,1565365,BTCUSD,43675,43690.5,43650,43690,1937369,44.35982075
1642053900,-0.000223,-1.98459016393443E-05,891725686.278689,43688.2098360656,43730.127704918,43727.4659344262,2296167,63012,BTCUSD,43690,43725,43689.5,43700,1989158,45.51563158
1642054200,-0.000223,-2.29482470784641E-05,892079541.843072,43708.0475792988,43739.8764607679,43737.607345576,417733,465704,BTCUSD,43700,43725,43700,43724.5,601191,13.75557629
1642054500,-0.000223,-2.54679715302491E-05,892109158.368327,43719.4403914591,43751.4005516014,43749.3648576513,476295,29182,BTCUSD,43724.5,43784,43724.5,43783.5,2045470,46.75090414
1642054800,-0.000223,-2.8315484804631E-05,891776573.364689,43764.9008683068,43792.6005209841,43790.495397974,2034491,1209081,BTCUSD,43783.5,43784,43759.5,43762.5,3015112,68.87685171
1642055100,-0.000223,-2.72340067340067E-05,892979633.29798,43766.6607744108,43789.9221885522,43787.9100841751,122077,1761627,BTCUSD,43762.5,43763,43750,43750,876883,20.03998908
1642055400,-0.000223,-2.83264E-05,893969649.0448,43746.012,43770.695904,43768.98256,197086,1466001,BTCUSD,43750,43750.5,43723,43738.5,2007332,45.89978219
1642055700,-0.000223,-2.96756302521008E-05,894493196.047059,43736.081512605,43771.508302521,43769.6065882353,1950633,72869,BTCUSD,43738.5,43751,43738,43750.5,1375093,31.43408038
1642056000,-0.000223,-3.53815028901734E-05,895937935.973988,43747.0975433526,43787.3726445087,43786.0261849711,394705,269539,BTCUSD,43750.5,43751,43697,43697.5,1074869,24.58810015
1642056300,-0.000223,-3.75044404973357E-05,895825824.534636,43704.0896980462,43737.4628596803,43735.9997335702,618476,819448,BTCUSD,43697.5,43717.5,43697,43700,877749,20.08125866
1642056600,-0.000223,-3.89014285714286E-05,896230998.56,43694.2478571429,43715.5633857143,43714.4048714286,139896,1547477,BTCUSD,43700,43700,43661.5,43663,1534120,35.12373538
1642056900,-0.000223,-3.91687388987567E-05,896066913.330373,43662.8019538188,43693.4498223801,43692.1038721137,133081,190067,BTCUSD,43663,43700,43662.5,43699.5,1023771,23.44370998
1642057200,-0.000223,-4.19525616698292E-05,896649220.176471,43689.4535104364,43725.0307590133,43723.8218595825,867746,342573,BTCUSD,43699.5,43700,43683,43683,719963,16.47795474
1642057500,-0.000223,-4.21319073083779E-05,896425099.673797,43682.6996434938,43701.9013012478,43700.8456862745,11247,1014013,BTCUSD,43683,43697,43678,43697,1399182,32.03110749
1642057800,-0.000223,-4.32728904847397E-05,896438263.955117,43690.3482944345,43730.012513465,43728.8290664273,1331671,6735,BTCUSD,43697,43698.5,43697,43698,708400,16.21149571
1642058100,-0.000223,-4.71433891992551E-05,897255611.595903,43698.2811918063,43733.7713407821,43732.9288640596,1014229,48582,BTCUSD,43698,43720,43698,43720,1608734,36.81078319
1642058400,-0.000223,-4.91723163841808E-05,898133425.022599,43720.7725988701,43758.3119774011,43757.4400141243,1083583,42183,BTCUSD,43720,43750,43719.5,43749.5,1451275,33.18301475
1642058700,-0.000223,-5.10926216640502E-05,898052431.464678,43743.123233909,43772.0833437991,43771.5795604396,975611,558306,BTCUSD,43749.5,43751.5,43703.5,43703.5,1290281,29.50539107
1642059000,-0.000223,-5.03176895306859E-05,898034581.888087,43714.1570397112,43739.4080685921,43738.8880866426,525868,1118822,BTCUSD,43703.5,43720,43674.5,43674.5,2253057,51.55779597
1642059300,-0.000223,-4.96029850746269E-05,898643514.917911,43673.4194029851,43688.1188656716,43687.7064328358,79462,2094263,BTCUSD,43674.5,43675,43649,43649.5,1836269,42.06051009
1642059600,-0.000223,-4.75390070921986E-05,898697953.252482,43624.4546099291,43650.3291631206,43650.3153333333,3858745,10143194,BTCUSD,43649.5,43649.5,43408.5,43607,14857073,340.99656219
1642059900,-0.000223,-4.87416974169742E-05,899210334.151291,43604.1116236162,43633.5796125461,43633.1470295203,2097045,271293,BTCUSD,43607,43666,43606.5,43666,3547625,81.29966309
1642060200,-0.000223,-4.89393939393939E-05,901412326.926916,43648.8939393939,43671.3034046346,43670.8412299465,3362308,63657,BTCUSD,43666,43685,43665.5,43685,1399408,32.04644706
1642060500,-0.000223,-5.01838235294118E-05,903059573.554412,43681.1860294118,43716.1683676471,43716.0948088235,2174209,855793,BTCUSD,43685,43700,43684.5,43695,3038828,69.54891743
1642060800,-0.000121296969697,-9.25863636363636E-05,902250668.333333,43699.8075757576,43717.9697727273,43716.6517424242,2494399,521285,BTCUSD,43695,43731.5,43684.5,43731.5,2800649,64.06543896
1642061100,-5E-05,7.73736128236745E-06,903065262.08508,43735.6381011097,43762.1747348952,43759.925622688,1754792,328318,BTCUSD,43731.5,43746,43731,43746,2390573,54.65113849
1642061400,-5E-05,-0.000103030013643,903744825.548431,43755.5654843111,43796.2,43794.0093860846,1812935,150320,BTCUSD,43746,43840,43745.5,43829,3935613,89.85776918
1642061700,-5E-05,-0.000110911060433,902688391.417332,43818.2257696693,43839.6208323831,43837.2917445838,5605731,2972636,BTCUSD,43829,43844,43799.5,43803,5997442,136.83357635
1642062000,-5E-05,-8.81870794078062E-05,903647756.378197,43809.4609690444,43842.1276446837,43839.9211843876,619359,838679,BTCUSD,43803,43822.5,43803,43822,1362359,31.09007589
1642062300,-5E-05,-7.13262839879154E-05,903633603.752266,43812.5422960725,43826.8445619335,43824.7257854985,432801,1151052,BTCUSD,43822,43826.5,43800.5,43826.5,1946460,44.4255488
1642062600,-5E-05,-3.42866449511401E-05,903252313.561889,43828.7931596091,43848.8203583062,43846.6768078176,1080322,464891,BTCUSD,43826.5,43866,43826,43866,1842022,42.01110718
1642062900,-5E-05,-1.82902777777778E-05,902710197.111111,43859.6479166667,43879.4623472222,43877.4517638889,1454228,197531,BTCUSD,43866,43866,43836,43836.5,2942137,67.0804898
1642063200,-5E-05,3.93324432576769E-06,901853907.090788,43843.5841121495,43847.4258210948,43845.5338317757,341983,2441298,BTCUSD,43836.5,43836.5,43820,43824.5,789113,18.00526193
1642063500,-5E-05,2.29530988274707E-05,901063790.819095,43823.0661641541,43850.0723953099,43848.0952428811,707772,118043,BTCUSD,43824.5,43825.5,43824.5,43825.5,955805,21.80961743
1642063800,-5E-05,5.89256198347108E-06,901108643.603306,43833.6776859504,43861.4590909091,43859.4174049587,1267340,135314,BTCUSD,43825.5,43849,43825.5,43836.5,2180471,49.73179926
